arr24,real_value,mean_prediction,median_prediction,desc
831,2.28737783322936,1.44705534973938,1.45811785156644,dml-diag_tabacco
833,1.19261558568861,1.26121860721609,1.27104643350761,dml-diag_tabacco
832,0.783101930240433,1.05777241877824,1.09229802931205,dml-diag_tabacco
843,0.848868175765646,1.43310232384211,1.43765322182277,dml-diag_tabacco
841,1.90522716170005,1.63471735030446,1.63751414390924,dml-diag_tabacco
842,1.01703222644284,1.22429793124515,1.21690248852561,dml-diag_tabacco
853,1.64375797080913,2.17953638417303,2.13946197614212,dml-diag_tabacco
852,2.59642678243446,1.56810272469246,1.58706882898776,dml-diag_tabacco
851,2.04671857619577,2.02788080358618,2.04682528814045,dml-diag_tabacco
862,2.80979827089337,3.06191864728362,3.06860234695173,dml-diag_tabacco
863,2.5830258302583,1.34032348137962,1.31621876905706,dml-diag_tabacco
861,2.23804679552391,2.06094283641177,2.05186114615137,dml-diag_tabacco
872,3.36892298123769,1.98091211737022,1.97044323792478,dml-diag_tabacco
871,3.83693045563549,3.08032466163655,3.0674384073437,dml-diag_tabacco
873,2.78551532033426,3.09452351800325,3.14429154690997,dml-diag_tabacco
882,4.23253442121367,3.30186057528808,3.2833858263959,dml-diag_tabacco
883,4.6875,3.07881371133484,3.07834288447054,dml-diag_tabacco
881,3.23977823977824,2.53832095788946,2.50158395487262,dml-diag_tabacco
891,1.21886592474828,2.03431558134472,2.05814997962734,dml-diag_tabacco
892,3.78973105134474,3.27869676156325,3.28210569574174,dml-diag_tabacco
893,0.850246845858475,1.89788963139727,1.90948184669412,dml-diag_tabacco
901,1.75249393367484,1.81021325168182,1.85171997138175,dml-diag_tabacco
911,0.555864369093941,1.12563161349961,1.1162640544771,dml-diag_tabacco
913,0.812650999341094,0.709682909567684,0.70614275682811,dml-diag_tabacco
912,0.940545808966862,0.947040466691636,0.957586173517286,dml-diag_tabacco
921,0.621661850976272,0.704800477307952,0.679857840331759,dml-diag_tabacco
922,0.648917235241768,0.667540487095762,0.665476486155889,dml-diag_tabacco
923,0.468540829986613,0.730291766725291,0.734442258954293,dml-diag_tabacco
933,0.446982865656817,1.36480331036629,1.37784897304566,dml-diag_tabacco
932,0.558713977651441,1.120118185542,1.09190089108899,dml-diag_tabacco
931,0.603337612323492,1.17180091242476,1.17758481509731,dml-diag_tabacco
943,0.973477699413927,0.883442297522782,0.885088621235028,dml-diag_tabacco
941,0.716079233702223,0.759756298399517,0.770057022079458,dml-diag_tabacco
942,0.534898891063275,0.721947474854687,0.720478050608854,dml-diag_tabacco
953,0.279222029655305,0.894004114390475,0.889745398315764,dml-diag_tabacco
952,0.935364624173855,0.739079702739577,0.723873201145315,dml-diag_tabacco
951,0.625084016668907,0.747838442200795,0.746199957829825,dml-diag_tabacco
012,,0.0522158745898903,0.0526252825819015,dml-diag_calcium
011,,0.0292883807908396,0.0305098998958944,dml-diag_calcium
014,,0.0384752235664458,0.037295404934892,dml-diag_calcium
013,,0.0955516740039939,0.0976710641035776,dml-diag_calcium
022,,0.0769002933313088,0.0803473002518892,dml-diag_calcium
024,,0.0478153788911708,0.0495466533299134,dml-diag_calcium
025,,0.0970094997578509,0.0775104165606383,dml-diag_calcium
023,,0.131157710214737,0.133042713525085,dml-diag_calcium
021,,0.0390179286973235,0.0387947134665194,dml-diag_calcium
