dep,pop_0029,pop_0044,type,count
39,80492.2851559947,124584.855758145,t1d_e101,12
39,80492.2851559947,124584.855758145,t1d,154
40,120968.220757681,194078.844035651,t1d_e101,24
40,120968.220757681,194078.844035651,t1d,299
41,101029.149285801,154716.459009286,t1d_e101,23
41,101029.149285801,154716.459009286,t1d,146
42,267609.312670426,400196.411882591,t1d_e101,46
42,267609.312670426,400196.411882591,t1d,650
43,69207.8880147325,106774.88288337,t1d_e101,13
43,69207.8880147325,106774.88288337,t1d,138
44,536931.567574353,824541.447162614,t1d_e101,132
44,536931.567574353,824541.447162614,t1d,799
45,244584.771225322,368846.158293639,t1d_e101,59
45,244584.771225322,368846.158293639,t1d,394
46,44711.3386936913,70707.2102637411,t1d,86
47,98348.179971767,151418.821618162,t1d_e101,20
47,98348.179971767,151418.821618162,t1d,266
48,22462.8496650936,34789.9475717096,t1d,45
49,302377.61073044,449692.313960441,t1d_e101,57
49,302377.61073044,449692.313960441,t1d,562
50,150914.087020719,232467.865616787,t1d_e101,35
50,150914.087020719,232467.865616787,t1d,319
51,205688.198763802,307623.968531522,t1d_e101,20
51,205688.198763802,307623.968531522,t1d,471
52,52275.9974424347,80139.7287247725,t1d,116
53,104169.337218584,156035.981419538,t1d_e101,19
53,104169.337218584,156035.981419538,t1d,237
54,265719.668837961,401006.378884465,t1d_e101,69
54,265719.668837961,401006.378884465,t1d,464
55,57194.3009981646,88273.0463083616,t1d,129
56,233440.042410399,361366.472412855,t1d_e101,45
56,233440.042410399,361366.472412855,t1d,507
57,349043.774732588,548811.676940822,t1d_e101,80
57,349043.774732588,548811.676940822,t1d,780
58,55325.612553936,85195.3350791457,t1d_e101,11
58,55325.612553936,85195.3350791457,t1d,71
59,1016774.54293094,1514558.23077105,t1d_e101,250
59,1016774.54293094,1514558.23077105,t1d,2191
60,304398.082753899,464874.342986313,t1d_e101,64
60,304398.082753899,464874.342986313,t1d,564
61,83843.9516505438,126636.076387322,t1d_e101,21
61,83843.9516505438,126636.076387322,t1d,172
62,525744.547207097,796289.23590353,t1d_e101,127
62,525744.547207097,796289.23590353,t1d,1283
63,224912.903994212,343241.622718756,t1d_e101,47
63,224912.903994212,343241.622718756,t1d,301
64,209924.027854625,331891.830024047,t1d_e101,15
64,209924.027854625,331891.830024047,t1d,397
65,66572.6700436526,102900.538692645,t1d,142
66,148333.842289399,228213.162823242,t1d_e101,51
66,148333.842289399,228213.162823242,t1d,462
67,409734.31941234,627376.566720806,t1d_e101,74
67,409734.31941234,627376.566720806,t1d,724
68,254642.936469907,397376.705896984,t1d_e101,64
68,254642.936469907,397376.705896984,t1d,501
69,755992.314731093,1132434.01132072,t1d_e101,163
69,755992.314731093,1132434.01132072,t1d,1717
70,72958.9663150619,112666.672174497,t1d_e101,14
70,72958.9663150619,112666.672174497,t1d,133
71,163411.743476674,252015.4939603,t1d_e101,27
71,163411.743476674,252015.4939603,t1d,453
72,193541.080443286,289474.550938063,t1d_e101,35
72,193541.080443286,289474.550938063,t1d,400
