variable,beta,std,zval,pval,description,dispersion,pseudo_r2,aic,nobs,df
diag_vitamin_d,0.0339992798404407,0.0379022572458333,0.897025198787556,0.369705470929932,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
diag_calcium,0.307284957467864,0.115415552742978,2.66242243930647,0.00775804464125474,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
diag_family,0.0161222844177473,0.0262707267183555,0.613697694418274,0.539415112208884,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
diag_other_minerals,-0.018459583768173,0.142429064551542,-0.129605455363311,0.896878586900472,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
diag_tabacco,0.0335221293441556,0.0169145306809345,1.98185394419134,0.0474955898684591,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
diag_vitamin_b9,0.0321967791174849,0.0710770460178849,0.452984204061932,0.650560115866784,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
diag_vitamin_b12,0.0926066661088146,0.0792490162343023,1.16855287938238,0.242583822455724,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
somo35_mean,2.63553036976975e-05,2.32980112544208e-05,1.13122546855567,0.257960204940756,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
pm10_mean_concentration,0.0186426162600461,0.015357818582458,1.21388439119473,0.224791874156426,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
o3_mean_concentration,-0.00406319689600235,0.00616727388352659,-0.658831920349047,0.510003707147478,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
no2_mean_concentration,-0.0196753267919241,0.00898522312751539,-2.18974270451587,0.0285429021095999,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
ges_resid,6.63402699223822e-06,9.01476649942803e-05,0.0735906691832687,0.941336095920704,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
n_equip_d2,-0.00780794060683651,0.0129556907648466,-0.602664940724134,0.546731609132787,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
n_equip_a1,-0.122552541342021,0.0346429262175948,-3.53759207788219,0.000403793365789628,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
n_equip_c1,0.00352680650721929,0.108167388245665,0.032605081479913,0.973989517551524,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
n_equip_c2,0.338040781960516,0.475075855092917,0.711551173010889,0.476742751773736,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
n_ape5610c,0.0408996485656116,0.0289976611340284,1.41044646244301,0.158407894302359,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
n_ape9312z,-0.0621324462922737,0.026322154713617,-2.36046201263802,0.0182521875501607,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
n_ape4722z,0.0924184243226949,0.152770923835511,0.604947734833377,0.545213724552834,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
n_ape4723z,-0.315978383520246,0.224004693837255,-1.41058822521733,0.158366065543382,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
coups,0.0475555021812267,0.0378775385996889,1.25550666540981,0.209294889957158,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
ac_prop,0.239096633708399,0.292881847410318,0.816358664159313,0.414295030976934,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
(Intercept),-8.2872100777416,0.591215505568307,-14.017240751789,1.22277055200002e-44,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
PC1,-0.0363107672972592,0.01144757482702,-3.17191788181669,0.00151435821493181,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
PC2,-0.0498194881120009,0.0234552110989508,-2.12402642218085,0.0336679342276635,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
PC3,0.000509343576567519,0.0207652674846461,0.0245286306542466,0.980430946621981,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
diag_vitamin_d,0.0355170507840055,0.0426804239593034,0.832162558129031,0.405317194765445,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
diag_calcium,0.316306808078475,0.130736097974886,2.41942977477604,0.0155448619279509,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
diag_family,-0.00090072835367314,0.0297825973870918,-0.0302434452565084,0.975872900059991,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
diag_other_minerals,-0.0708755623229482,0.162149686518367,-0.437099595101099,0.662039120935655,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
diag_tabacco,0.0337815577702178,0.0188046700206892,1.79644512416601,0.0724237527620603,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
diag_vitamin_b9,0.0258765865780297,0.0774827881855867,0.333965609446709,0.738405509880087,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
diag_vitamin_b12,0.0826208992579091,0.0878752636889622,0.940206558586828,0.347111618267217,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
somo35_mean,1.72404616548677e-05,2.9755521537228e-05,0.57940378001097,0.562316754145014,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
pm10_mean_concentration,0.00137484311845971,0.0195426313608979,0.07035097234708,0.943914312906209,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
o3_mean_concentration,-0.00176412268731504,0.00768170119008147,-0.229652604763234,0.818361726455081,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
no2_mean_concentration,-0.00920482713625872,0.0119326636543518,-0.771397518851689,0.440471345307766,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
ges_resid,6.1889790892473e-05,0.000107210979217088,0.577271015939091,0.563756390100668,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
n_equip_d2,-0.00849126684918993,0.0159719041468639,-0.531637729046677,0.594976928363953,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
n_equip_a1,-0.100535318384291,0.0365538979777217,-2.75033098920295,0.00595350946702492,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
n_equip_c1,-0.0184382712784201,0.115204875191588,-0.160047665064147,0.872843526838885,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
n_equip_c2,0.241882896945849,0.495388046786932,0.48826954649934,0.625358929225579,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
n_ape5610c,0.0266191526809951,0.031471617498577,0.845814571882069,0.397656195096962,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
n_ape9312z,-0.0562403702783271,0.0292117505914061,-1.9252653175422,0.0541961742324345,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
n_ape4722z,0.0536036075272257,0.163846757466362,0.327156962738373,0.743549170064037,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
n_ape4723z,-0.222157489412781,0.237449968341876,-0.935597047934422,0.349480695075187,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
coups,0.0465282079155501,0.041193549231154,1.12950228334201,0.258686006876127,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
ac_prop,0.44180346513892,0.333651973007631,1.32414462038507,0.185455018970388,negbinom-bv2022,1.08994489054015,0.313823118159005,4649.56452999537,1628,1602
(Intercept),-7.41523992682605,3.27644853443442,-2.26319438529074,0.0236237091932542,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
PC1,0.00610538977727926,0.0142469438852649,0.428540311974827,0.668257790890582,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
PC2,0.030367332119922,0.025913996017198,1.17185061307289,0.241257038118115,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
PC3,0.0582078938674346,0.0237757742232459,2.44820182597982,0.0143571208431896,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
tm_summer,0.0562682653038816,0.0402804723152028,1.39691175574038,0.162440109033721,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
tm_winter,-0.0343756278914919,0.0328390471575673,-1.04679127036031,0.295195857480912,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
diag_vitamin_d,0.121071279641821,0.0866028477446114,1.39800575610233,0.162111338670983,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
diag_calcium,0.15666289110668,0.127715939303458,1.22665105045692,0.219953772902637,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
diag_family,0.0279883223031978,0.0503812321573882,0.555530722546916,0.578531702053664,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
diag_other_minerals,-0.0734780668053689,0.128307871776668,-0.572669983438463,0.566868164948733,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
diag_tabacco,0.0415181119017165,0.0328655105308725,1.26327299442727,0.206491087979846,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
diag_vitamin_b9,-0.00411816413995434,0.0987201562845446,-0.0417155350532915,0.966725469559707,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
diag_vitamin_b12,0.12591024017993,0.0887227380643848,1.41914285928099,0.155857370831554,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
somo35_mean,-4.96592653920188e-05,5.69332946338454e-05,-0.872235933497121,0.383079680172322,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
pm10_mean_concentration,0.0153756367149126,0.0311355104081375,0.493829602064082,0.621426525281301,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
o3_mean_concentration,0.000499942595894055,0.0129125843049971,0.0387174700342968,0.969115644779096,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
no2_mean_concentration,-0.0289712058321941,0.01564313903649,-1.85200718120668,0.0640247917144123,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
ges_resid,5.64608258402002e-05,0.000165864678499466,0.34040294986845,0.733553097522407,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
water_no3,-0.00683506171909681,0.00768509360358448,-0.889392123462075,0.373792376590645,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
prop_robinet,-0.0196711086841214,0.0342144320919468,-0.574935998682014,0.565334582516816,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
water_ph,-0.21223186886786,0.383460149561105,-0.553465253457949,0.579944867064317,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
n_equip_d2,-0.0896900468189024,0.0241367683730429,-3.71590949677723,0.000202474052573168,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
n_equip_a1,-0.113355014017333,0.0654043063788303,-1.7331429731976,0.0830702599453403,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
n_equip_c1,0.11142678472042,0.220810735715382,0.504625757255054,0.613821715348128,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
n_equip_c2,0.420181109354678,1.48575739956873,0.282806001488966,0.777325553542706,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
n_ape5610c,0.0636243748889901,0.0604115683162299,1.05318197594114,0.292257597540409,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
n_ape9312z,-0.0743459648501991,0.0553374762065746,-1.34350118485104,0.179109742629952,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
n_ape4722z,0.393547229602105,0.376375358215315,1.04562432426027,0.295734514327333,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
n_ape4723z,-0.0943708706099628,0.52377362356207,-0.180174919783412,0.857015247316704,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
coups,0.0628854015342896,0.0239807530678565,2.62232805435041,0.00873313230587816,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
ac_prop,1.02542038516066,0.729462122283205,1.40572122093346,0.159806922962659,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
water_no3:prop_robinet,-0.000132210293014774,0.000102685116751021,-1.28753121385003,0.197909197257973,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
prop_robinet:water_ph,0.00263550562773378,0.00443759869868723,0.593903551601779,0.552576623437014,poisson-arr24-female,1.28409847208,0.0812706734255941,1443.79072614655,315,282
(Intercept),-6.92283149897504,3.5535385731377,-1.94815149927086,0.0513968381934744,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
PC1,0.00538876689511065,0.0155099980560903,0.347438270180482,0.728262086449483,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
PC2,0.0316567565751181,0.0280824923188004,1.12727731626316,0.2596252499704,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
PC3,0.0495529849161867,0.0260277059582437,1.90385526083953,0.0569290371754653,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
tm_summer,0.0524629112636344,0.0434152235919857,1.20839896522654,0.226893837643223,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
tm_winter,-0.038074614599172,0.0357851412794391,-1.0639783227864,0.287338519668423,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
diag_vitamin_d,0.101753326353415,0.094763529416106,1.07376041163068,0.282930077409241,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
diag_calcium,0.166120912123104,0.137083207798168,1.21182539270374,0.225579225994,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
diag_family,0.0229329387982743,0.0536381532822391,0.427549000011303,0.668979503333922,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
diag_other_minerals,-0.0903026074028493,0.134152256729121,-0.673135209236083,0.50086127588559,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
diag_tabacco,0.0375300036440322,0.0348756769838952,1.07610824762951,0.281878847491499,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
diag_vitamin_b9,-0.00275476724947846,0.102340548011812,-0.0269176519277629,0.978525414415985,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
diag_vitamin_b12,0.129020766298342,0.0913927427953071,1.41171784927508,0.158033055577571,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
somo35_mean,-5.65347786296501e-05,6.14878278967153e-05,-0.919446670398162,0.357861987715607,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
pm10_mean_concentration,0.0135328612249669,0.0341036393500989,0.396815749956834,0.691503335489265,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
o3_mean_concentration,-0.000464361967802568,0.0139294958078129,-0.0333365955386635,0.973406170948324,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
no2_mean_concentration,-0.0307735399424074,0.0170454722172774,-1.80537913823326,0.0710153734022434,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
ges_resid,4.88954698173165e-05,0.000177947313988789,0.274774980983399,0.78348912077662,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
water_no3,-0.00714806411201675,0.00845024180616009,-0.84590054059825,0.397608230910873,negbinom-arr24-female,1.16168410065937,0.297741086891179,1443.02413448998,315,282
