arr24,pop_0029,pop_0044,type,count
272,73674.2383856806,114804.088080191,t1d_e101,15
272,73674.2383856806,114804.088080191,t1d,126
273,49921.1450805323,76000.843350335,t1d,60
271,83059.2520639496,127855.728685184,t1d_e101,23
271,83059.2520639496,127855.728685184,t1d,167
283,46508.1403835686,70680.5142368868,t1d,59
281,72650.4648990985,111976.448812671,t1d_e101,19
281,72650.4648990985,111976.448812671,t1d,110
282,17962.4012017308,27498.0288885226,t1d,18
284,10490.6781984619,15859.3381985005,t1d,13
292,23270.3690954362,36219.0556617969,t1d,42
294,92619.4355520816,145949.603708492,t1d_e101,14
294,92619.4355520816,145949.603708492,t1d,193
293,39153.233762916,61275.9077188355,t1d_e101,12
293,39153.233762916,61275.9077188355,t1d,92
291,138296.153452382,207463.427158462,t1d_e101,23
291,138296.153452382,207463.427158462,t1d,295
302,187113.331200672,285189.595784646,t1d_e101,48
302,187113.331200672,285189.595784646,t1d,496
303,10288.9736164713,16534.616198702,t1d,34
301,45284.8011037046,69112.1177259839,t1d_e101,14
301,45284.8011037046,69112.1177259839,t1d,117
312,20459.0752799324,31411.4577800788,t1d,61
313,453103.395358047,687722.69185944,t1d_e101,118
313,453103.395358047,687722.69185944,t1d,909
311,78336.3754037206,124270.262699017,t1d_e101,19
311,78336.3754037206,124270.262699017,t1d,153
323,10006.3408998961,15638.343932724,t1d,27
321,25374.5211824307,39681.0927801812,t1d,53
322,17161.7220272959,26815.3234412522,t1d,50
335,49556.8924596166,77821.8347755473,t1d,83
333,41129.5621613425,65958.5411292207,t1d_e101,17
333,41129.5621613425,65958.5411292207,t1d,84
332,391765.738829941,599295.483393665,t1d_e101,111
332,391765.738829941,599295.483393665,t1d,700
336,44470.7903790443,71098.8289151425,t1d_e101,18
336,44470.7903790443,71098.8289151425,t1d,72
331,32145.8933196611,51040.3435337333,t1d,54
334,27803.6110114653,45340.8775108448,t1d,51
341,96186.4665836504,147389.168655678,t1d_e101,28
341,96186.4665836504,147389.168655678,t1d,267
342,46820.3058254959,73704.2304950446,t1d,90
343,277100.712191958,415242.240708006,t1d_e101,46
343,277100.712191958,415242.240708006,t1d,567
353,261834.411202648,386533.542726619,t1d_e101,54
353,261834.411202648,386533.542726619,t1d,681
351,65750.39532265,101259.789483153,t1d,164
354,51597.974239,79898.6744439457,t1d,161
352,36921.5020224967,57897.7585964868,t1d,90
363,6534.61938536506,10349.422456838,t1d,11
364,9123.61393334539,14019.5342680011,t1d,12
362,37451.8184459398,57173.8349693646,t1d,54
361,7597.51358217811,11744.7152298263,t1d,16
373,34478.760079449,54264.4423492042,t1d,33
371,32048.1990513242,50142.9096272519,t1d,37
372,145080.394705026,214697.897192807,t1d_e101,25
372,145080.394705026,214697.897192807,t1d,225
382,117019.348418679,180112.280107282,t1d_e101,19
382,117019.348418679,180112.280107282,t1d,234
381,276614.400432191,414352.90492404,t1d_e101,67
381,276614.400432191,414352.90492404,t1d,450
383,77080.296854064,118373.888764129,t1d,153
391,33720.3998709565,51556.1563456529,t1d,61
392,31302.0639946255,48499.1439819236,t1d,70
393,15469.8212904128,24529.5554305682,t1d,23
402,53430.7303939915,84630.9275479431,t1d,133
401,67537.4903636894,109447.916487708,t1d_e101,15
401,67537.4903636894,109447.916487708,t1d,166
412,18963.1451925817,29311.7380465264,t1d,25
413,31303.5702260248,48667.0402002553,t1d,50
411,50762.4338671949,76737.6807625038,t1d,71
421,60636.3489956556,94159.174722183,t1d,156
422,48909.152968014,74599.1709716563,t1d,92
423,158063.810706756,231438.066188751,t1d_e101,31
423,158063.810706756,231438.066188751,t1d,402
431,11862.5501088039,18794.5016629907,t1d,18
432,29419.0492685385,45222.2348867804,t1d,58
433,27926.2886373901,42758.1463335994,t1d,62
445,83459.2293342088,129850.751250285,t1d_e101,24
445,83459.2293342088,129850.751250285,t1d,137
442,346418.440803159,528761.767088335,t1d_e101,77
442,346418.440803159,528761.767088335,t1d,516
443,107053.897436986,165928.928823994,t1d_e101,31
443,107053.897436986,165928.928823994,t1d,146
491,153355.602816528,222791.805383019,t1d_e101,34
491,153355.602816528,222791.805383019,t1d,314
451,53969.1754204092,81475.1516798306,t1d_e101,14
451,53969.1754204092,81475.1516798306,t1d,87
453,21311.3712849832,32681.8593060278,t1d,28
452,169304.224519929,254689.147307781,t1d_e101,39
452,169304.224519929,254689.147307781,t1d,279
461,19449.4562750784,30541.069298843,t1d,36
462,14477.7340053651,22994.867499735,t1d,31
463,10784.1484132477,17171.2734651631,t1d,19
471,39620.9382330402,60847.3092972246,t1d,116
472,23903.0246079239,36706.7377153399,t1d,46
473,24719.9120450171,37995.2603522812,t1d,80
474,10104.3050857858,15869.5142533164,t1d,24
482,19326.0732670536,29622.1306963433,t1d,41
493,43601.9569643663,65977.5994291296,t1d,76
494,25960.3549735593,39433.258495135,t1d,42
492,79459.6959759866,121489.650653157,t1d_e101,13
492,79459.6959759866,121489.650653157,t1d,130
502,59545.3341743907,92036.1278860646,t1d_e101,13
502,59545.3341743907,92036.1278860646,t1d,135
503,20119.672706357,30860.9421290529,t1d,46
501,37369.8679652703,57548.0914962367,t1d,77
514,13478.9561325473,20897.2629499539,t1d,33
512,35890.3705942698,56190.9344613342,t1d,64
511,38507.2837766738,58017.6608434883,t1d,103
521,19095.1602474003,29185.4652227677,t1d,34
