,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
n_ape4773z,-0.3497757719859981,0.6151333990274668,-0.06357708673762817,-0.33621814822219515,0.01329897927204928,0.018317232009278442,-0.041607956974736564,-0.2451297496240481,0.13955739848273438,-0.06546245397319105
n_ape5610c,0.24094126391995027,0.8079811212917146,0.04990026459739884,0.10666800057869667,-0.1275905314206099,-0.29283620689581585,-0.17466742486731687,-0.012465561081102475,0.09005314988661917,0.052869415530647376
n_ape4722z,-0.4200743746885667,0.6299365333589861,0.003705197721829926,-0.1312906778711789,-0.06941762927115395,0.0032259584635578086,-0.09073887852568292,-0.004584118238189491,0.0606098595090266,0.0904758001819134
n_ape9312z,-0.6954465002983597,0.4629712034436646,0.04841436821429373,-0.11868349847921553,0.1179161170738291,-0.04821003538670241,0.09092156237476412,-0.014812496040709723,-0.23479518438250155,0.004931920744684574
n_ape4711a,0.16986628929791073,0.20700703738149404,0.1397819444368419,-0.07124647023226104,0.1562724238182361,-0.22028059962328572,0.20221323501685545,-0.18914426509754706,-0.13701590628831636,-0.0054771782680557105
n_ape1071c,-0.6395764798062193,0.5093494839743168,0.07964951492076447,-0.1875724087396262,0.041182343586261314,0.12687467032252842,-0.126642252803549,-0.03143620875620354,0.06597903155241563,-0.033388121399518834
n_ape4723z,0.07581405719975085,0.141730184219202,-0.06697052176031269,0.1821979457009312,0.4933277996115699,-0.3219492894161504,-0.29203571411628093,-0.18145908810577635,0.25348993458209523,0.02075410556410129
ges_routier,-0.51356284959562,-0.009086051271025077,0.08290048183360431,0.045425916042702456,-0.05745366916369744,0.2497122133756679,-0.2749264166750998,0.10983066277845216,0.019266100480563954,-0.21083273030048363
ges_resid,-0.04543992187223325,-0.3393739851738919,-0.09632947488047122,-0.44301503961701044,-0.18955765565704938,-0.0960151737726986,0.3333120778322235,-0.24209197879080607,0.2093044711586077,-0.18138513045000415
pop_0014,0.9037521814405849,0.16503400809162264,-0.12600909229983104,-0.20287557610849025,0.06525825834842858,0.1128595349148827,-0.0754105425730826,0.20862985621245633,-0.04854805274322584,-0.012423630041638722
pop_1529,0.8690402343494176,0.22952937383342017,-0.11054106263612808,-0.3013761514396502,0.1297040555745728,0.17509490607751108,-0.0320932442658027,0.15599147696428933,-0.021731732569090615,-0.05589519314023543
pop_3044,0.8971773992343829,0.21637027614502793,-0.08809276880747455,-0.25424092246145835,0.1087422996194882,0.1627554641244307,-0.06669253360323081,0.16371232166182956,-0.005938073850820524,-0.032621904645950876
pop_4559,0.904829812056633,0.21919784195098696,-0.09744751929110218,-0.2045817095252727,0.14516133551140628,0.13398217763419748,-0.047965981688287175,0.17058212102798226,0.008091236964160763,-0.06508275289820815
pop_6074,0.8733690538844417,0.2569949341970972,-0.14274040180400768,-0.163945963647508,0.23291288503501384,0.09608411265563697,-0.01403340813475027,0.15663338352664938,0.049448912264319814,-0.12109352947201117
pop_7589,0.8459666673503252,0.3004713172932277,-0.1325557739210772,-0.13567977202214684,0.26764513447299176,0.1166691251267009,0.012565889821039173,0.13649548347470516,0.07062250774333564,-0.14762796308457996
pop_90p,0.8228307269375501,0.31270651735083255,-0.12210458415482674,-0.15105891639346225,0.3040379182235913,0.15523851321827492,0.02952670594454212,0.1129542208650163,0.06303235450847361,-0.14030695971218327
pop_0029,0.8920099020051171,0.2029151647585708,-0.1183663348315231,-0.2603012776611042,0.10224232395616441,0.14900920446468643,-0.05159058894542121,0.18070333408784062,-0.03381813471452507,-0.03709581889915916
pop_0044,0.8946672416876928,0.2077503369935591,-0.10805259025541972,-0.25846922790953086,0.1045822737087713,0.15389168754746374,-0.05684436664672856,0.17502709989706908,-0.024245897432348094,-0.03559089736663928
pop_tot,0.8967762454453511,0.2263805284287137,-0.11381175160371958,-0.22736853781748104,0.14499037075505986,0.14071354639354375,-0.04369970146636882,0.16962376835811724,-0.00031155342796748285,-0.06259536889582029
pop_h0029,0.8948948822807749,0.19726927152974297,-0.11967888795143745,-0.25189309114216357,0.1000507514772179,0.14092966605967222,-0.049839661140399935,0.1856759383584372,-0.03659272691485186,-0.03544617654759329
pop_h0044,0.8960935524116085,0.20316888611053038,-0.10889658525561519,-0.25508340128670537,0.10444684149571996,0.1484591388970096,-0.05494780220667702,0.1795569936468279,-0.02618343024826201,-0.03533713857368008
